Book-Author,ISBN,Book-Title,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
A. A. Attanasio,9,9,9,9,9,9,9
A. A. Carr,1,1,1,1,1,1,1
A. A. Gill,1,1,1,1,1,1,1
A. A. Hoehing,1,1,1,1,1,1,1
A. A. Hoehling,2,2,2,2,2,2,2
A. A. Milne,46,46,46,46,46,46,46
A. A. Sveshnikov,1,1,1,1,1,1,1
A. A. Winnie the Pooh Milne,1,1,1,1,1,1,1
A. Alice,1,1,1,1,1,1,1
A. Alli,1,1,1,1,1,1,1
A. Alvarez,2,2,2,2,2,2,2
A. Anatoli,1,1,1,1,1,1,1
A. Anderson-Evangelista,1,1,1,1,1,1,1
A. Avalon,1,1,1,1,1,1,1
A. B. C. Whipple,1,1,1,1,1,1,1
A. B. Guthrie,2,2,2,2,2,2,2
A. B. Simpson,1,1,1,1,1,1,1
A. B. Yehoshua,5,5,5,5,5,5,5
"A. B., Jr. Guthrie",2,2,2,2,2,2,2
A. Balfour,1,1,1,1,1,1,1
A. Barrie,2,2,2,2,2,2,2
A. Bartlett Giamatti,1,1,1,1,1,1,1
A. Bates,7,7,7,7,7,7,7
A. Bertrand,1,1,1,1,1,1,1
A. Breton,1,1,1,1,1,1,1
A. Brill,1,1,1,1,1,1,1
A. Bronte,1,1,1,1,1,1,1
A. Bruce Carlson,1,1,1,1,1,1,1
A. Bry,1,1,1,1,1,1,1
A. Buero Vallejo,1,1,1,1,1,1,1
A. C Grayling,1,1,1,1,1,1,1
A. C. (Alan C.) Weisbecker,1,1,1,1,1,1,1
A. C. (Ann C.) Crispin,1,1,1,1,1,1,1
A. C. Baantjer,2,2,2,2,2,2,2
A. C. Bhaktivedanta Swami Prabhupada,20,20,20,20,20,20,20
A. C. Bhaktivedanta Swami Prabhupada et al.,1,1,1,1,1,1,1
A. C. Bradley,1,1,1,1,1,1,1
A. C. Cawley,1,1,1,1,1,1,1
A. C. Crispin,7,7,7,7,7,7,7
A. C. Doyle,4,4,4,4,4,4,4
A. C. Fox-Davies,1,1,1,1,1,1,1
A. C. Gordon,1,1,1,1,1,1,1
A. C. Grayling,2,2,2,2,2,2,2
A. C. Green,1,1,1,1,1,1,1
A. C. H Smith,1,1,1,1,1,1,1
A. C. H. Smith,2,2,2,2,2,2,2
A. C. Parfitt,2,2,2,2,2,2,2
A. C. Prabhupada,4,4,4,4,4,4,4
A. C. Robin Skynner,1,1,1,1,1,1,1
A. C. Scott,1,1,1,1,1,1,1
A. C. Spearing,1,1,1,1,1,1,1
A. C. Weisbecker,3,3,3,3,3,3,3
A. Carman Clark,1,1,1,1,1,1,1
"A. Carman, Clark",1,1,1,1,1,1,1
A. Colin Day,1,1,1,1,1,1,1
A. Cort Sinnes,4,4,4,4,4,4,4
A. Cross,2,2,2,2,2,2,2
A. D. Ball,1,1,1,1,1,1,1
A. D. Francis,4,4,4,4,4,4,4
A. D. Harvey,1,1,1,1,1,1,1
A. D. Mills,1,1,1,1,1,1,1
A. D. Nauman,1,1,1,1,1,1,1
A. D. Smith,1,1,1,1,1,1,1
A. D. Thorp,1,1,1,1,1,1,1
A. D. Winans,1,1,1,1,1,1,1
A. Daly,1,1,1,1,1,1,1
A. Daudet,1,1,1,1,1,1,1
A. Decarlo,1,1,1,1,1,1,1
A. DhÃ?Â´tel,1,1,1,1,1,1,1
A. Dickey,1,1,1,1,1,1,1
A. Dolge,1,1,1,1,1,1,1
A. Duncan Brown,1,1,1,1,1,1,1
A. E Johann,1,1,1,1,1,1,1
A. E Van Vogt,1,1,1,1,1,1,1
A. E. (Alfred Elton) Van Vogt,1,1,1,1,1,1,1
A. E. Cannon,1,1,1,1,1,1,1
A. E. Hartnik,1,1,1,1,1,1,1
A. E. Hotchner,3,3,3,3,3,3,3
A. E. Housman,3,3,3,3,3,3,3
A. E. J Morris,1,1,1,1,1,1,1
A. E. Martin,1,1,1,1,1,1,1
A. E. Maxwell,6,6,6,6,6,6,6
A. E. Parker,5,5,5,5,5,5,5
A. E. Smith,1,1,1,1,1,1,1
A. E. Stephan,1,1,1,1,1,1,1
A. E. Van Vogt,10,10,10,10,10,10,10
A. E. W. Mason,2,2,2,2,2,2,2
A. E. Wilder-Smith,1,1,1,1,1,1,1
A. Edwards,1,1,1,1,1,1,1
A. Everitt,1,1,1,1,1,1,1
A. F Tschiffely,1,1,1,1,1,1,1
A. F. Gotch,1,1,1,1,1,1,1
A. F. Price,1,1,1,1,1,1,1
A. F. Th. van der Heijden,1,1,1,1,1,1,1
A. F. Wallace,1,1,1,1,1,1,1
A. Finnis,2,2,2,2,2,2,2
A. Frances,1,1,1,1,1,1,1
A. Francis,1,1,1,1,1,1,1
A. Franklin Parks,1,1,1,1,1,1,1
A. Fraser,1,1,1,1,1,1,1
A. G Ford,1,1,1,1,1,1,1
A. G. Cascone,18,18,18,18,18,18,18
A. G. Gravette,1,1,1,1,1,1,1
A. G. L Shaw,1,1,1,1,1,1,1
A. G. Macdonell,1,1,1,1,1,1,1
A. G. Mojtabai,1,1,1,1,1,1,1
A. G. Smith,2,2,2,2,2,2,2
A. Ganeri,1,1,1,1,1,1,1
A. Gayot,1,1,1,1,1,1,1
A. Grove Day,1,1,1,1,1,1,1
A. Gryphius,1,1,1,1,1,1,1
A. H. ALMAAS,2,2,2,2,2,2,2
A. H. Benjamin,1,1,1,1,1,1,1
A. H. Japp,1,1,1,1,1,1,1
A. Haeworth Robertson,1,1,1,1,1,1,1
A. Hallam,1,1,1,1,1,1,1
A. Henderson-Sellers,1,1,1,1,1,1,1
A. Herge,2,2,2,2,2,2,2
A. Hoehling,1,1,1,1,1,1,1
A. Hoffman,1,1,1,1,1,1,1
A. Holl,1,1,1,1,1,1,1
A. Holm,1,1,1,1,1,1,1
A. Horowitz,1,1,1,1,1,1,1
A. I. Lur'e,1,1,1,1,1,1,1
A. I. Oparin,1,1,1,1,1,1,1
A. J McClane,1,1,1,1,1,1,1
A. J Van der Bent,1,1,1,1,1,1,1
A. J. (Archibald Joseph) Cronin,1,1,1,1,1,1,1
A. J. Adler,1,1,1,1,1,1,1
A. J. Baden Fuller,1,1,1,1,1,1,1
A. J. Baime,1,1,1,1,1,1,1
A. J. Burress,1,1,1,1,1,1,1
A. J. Conyers,1,1,1,1,1,1,1
A. J. Cronin,2,2,2,2,2,2,2
A. J. Drew,1,1,1,1,1,1,1
A. J. Garrotto,1,1,1,1,1,1,1
A. J. Grassby,1,1,1,1,1,1,1
A. J. Hill,3,3,3,3,3,3,3
A. J. Holt,5,5,5,5,5,5,5
A. J. Jacobs,1,1,1,1,1,1,1
A. J. Langguth,1,1,1,1,1,1,1
A. J. Matthews,1,1,1,1,1,1,1
A. J. Meadows,1,1,1,1,1,1,1
A. J. Orde,3,3,3,3,3,3,3
A. J. Oreilly,1,1,1,1,1,1,1
A. J. Quinnell,4,4,4,4,4,4,4
A. J. Russell,4,4,4,4,4,4,4
A. J. Russo,1,1,1,1,1,1,1
A. J. Stacey,1,1,1,1,1,1,1
A. J. Verdelle,1,1,1,1,1,1,1
A. J. Wood,3,3,3,3,3,3,3
A. Jaffe,1,1,1,1,1,1,1
A. James Arnold,1,1,1,1,1,1,1
A. Jardin,1,1,1,1,1,1,1
A. Jarry,1,1,1,1,1,1,1
A. Jay Abrams,1,1,1,1,1,1,1
A. Jennings,1,1,1,1,1,1,1
A. Jones,2,2,2,2,2,2,2
A. Juno,1,1,1,1,1,1,1
A. Justin Sterling,1,1,1,1,1,1,1
A. K Dewdney,1,1,1,1,1,1,1
A. K.  Dewdney,1,1,1,1,1,1,1
A. K. Best,1,1,1,1,1,1,1
A. K. Dewdney,1,1,1,1,1,1,1
A. K. Legg,1,1,1,1,1,1,1
A. Keith Barton,1,1,1,1,1,1,1
A. Keith Furr,1,1,1,1,1,1,1
A. Kenneth Snowman,1,1,1,1,1,1,1
A. Keyton Weissinger,2,2,2,2,2,2,2
A. Kiplinger,1,1,1,1,1,1,1
A. L Karras,1,1,1,1,1,1,1
A. L. Alexander,1,1,1,1,1,1,1
A. L. Haskett,2,2,2,2,2,2,2
A. L. Kennedy,6,6,6,6,6,6,6
A. L. Lassieur,1,1,1,1,1,1,1
A. L. Rice,1,1,1,1,1,1,1
A. L. Singer,9,9,9,9,9,9,9
A. LaFaye,4,4,4,4,4,4,4
A. Lagarde,1,1,1,1,1,1,1
A. Laude,1,1,1,1,1,1,1
A. Leigh Deneef,1,1,1,1,1,1,1
A. Linzey,1,1,1,1,1,1,1
A. Lloyd,1,1,1,1,1,1,1
A. Lynn Berle,1,1,1,1,1,1,1
A. Lyons,1,1,1,1,1,1,1
A. M Tibbetts,1,1,1,1,1,1,1
A. M. Galopim de Carvalho,1,1,1,1,1,1,1
A. M. Homes,7,7,7,7,7,7,7
A. M. Jenkins,3,3,3,3,3,3,3
A. M. Monson,3,3,3,3,3,3,3
A. M. R. Agur,1,1,1,1,1,1,1
A. M. Rosenthal,2,2,2,2,2,2,2
A. M. Sperber,1,1,1,1,1,1,1
A. Malcolm Campbell,1,1,1,1,1,1,1
A. Manette Ansay,14,14,14,14,14,14,14
A. Martin,1,1,1,1,1,1,1
A. Mather,1,1,1,1,1,1,1
A. Melody,2,2,2,2,2,2,2
A. Merritt,2,2,2,2,2,2,2
A. Michael Kahn,1,1,1,1,1,1,1
A. Monnerie,1,1,1,1,1,1,1
A. Mortimer,1,1,1,1,1,1,1
A. N AfanasÂ§ev,1,1,1,1,1,1,1
A. N Roquelaure,1,1,1,1,1,1,1
A. N Wilson,1,1,1,1,1,1,1
A. N. Roquelaure,5,5,5,5,5,5,5
A. N. Wilson,13,13,13,13,13,13,13
A. Nadaud,1,1,1,1,1,1,1
A. Nataf,1,1,1,1,1,1,1
A. Natow,1,1,1,1,1,1,1
A. Nicholas Fargnoli,1,1,1,1,1,1,1
A. Nicholas. Vardac,1,1,1,1,1,1,1
A. Norman Jeffares,2,2,2,2,2,2,2
A. Northedge,1,1,1,1,1,1,1
A. Olive Wadsworth,1,1,1,1,1,1,1
A. P Riemer,1,1,1,1,1,1,1
A. P. Cowie,1,1,1,1,1,1,1
A. P. Herbert,1,1,1,1,1,1,1
A. P. J Abdul Kalam,1,1,1,1,1,1,1
A. P. Porter,1,1,1,1,1,1,1
A. Pablo Iannone,2,2,2,2,2,2,2
A. Parody,1,1,1,1,1,1,1
A. Pate,1,1,1,1,1,1,1
A. Plass,1,1,1,1,1,1,1
A. Plater,1,1,1,1,1,1,1
A. Platonov,1,1,1,1,1,1,1
A. R Ammons,1,1,1,1,1,1,1
A. R. Chandler,1,1,1,1,1,1,1
A. R. Eguiguren,1,1,1,1,1,1,1
A. R. Guerney,1,1,1,1,1,1,1
A. R. Gurney,1,1,1,1,1,1,1
A. R. Hope,1,1,1,1,1,1,1
A. R. Hope Moncrieff,1,1,1,1,1,1,1
A. R. Melrose,1,1,1,1,1,1,1
A. R. Myers,1,1,1,1,1,1,1
"A. R., Dr Hari",1,1,1,1,1,1,1
A. Ralph Epperson,2,2,2,2,2,2,2
A. Ray Elkins,2,2,2,2,2,2,2
A. Richard Barber,1,1,1,1,1,1,1
A. Rimbauld,1,1,1,1,1,1,1
A. Robbe-Grillet,1,1,1,1,1,1,1
A. Roberts,1,1,1,1,1,1,1
A. Roger Merrill,1,1,1,1,1,1,1
A. Rosalie David,1,1,1,1,1,1,1
A. Roy Petrie,1,1,1,1,1,1,1
A. Rupert Hall,1,1,1,1,1,1,1
A. Rushton,1,1,1,1,1,1,1
A. Ryan Nerz,1,1,1,1,1,1,1
A. S. Byatt,22,22,22,22,22,22,22
A. S. Cua,1,1,1,1,1,1,1
A. S. Hornby,3,3,3,3,3,3,3
A. S. Neill,1,1,1,1,1,1,1
A. S. Romanov,1,1,1,1,1,1,1
A. Sage,1,1,1,1,1,1,1
A. Saint-Exupery,1,1,1,1,1,1,1
A. Scott Berg,4,4,4,4,4,4,4
A. Seton,1,1,1,1,1,1,1
A. Sewell,1,1,1,1,1,1,1
A. Sherfan,1,1,1,1,1,1,1
A. Silberschatz,1,1,1,1,1,1,1
A. Sinclair,1,1,1,1,1,1,1
A. Siniavskii,1,1,1,1,1,1,1
A. Soto,1,1,1,1,1,1,1
A. Sow Fall,1,1,1,1,1,1,1
A. Sparkes,1,1,1,1,1,1,1
A. Sperling,1,1,1,1,1,1,1
A. Stassinopoulos,1,1,1,1,1,1,1
A. Strindberg,1,1,1,1,1,1,1
A. Susan Williams,1,1,1,1,1,1,1
A. T. Mann,4,4,4,4,4,4,4
A. Thomas,1,1,1,1,1,1,1
A. Tom Topper,1,1,1,1,1,1,1
A. Towle,1,1,1,1,1,1,1
A. Trigg,1,1,1,1,1,1,1
A. Tyrrell,1,1,1,1,1,1,1
A. V. Sellwood,1,1,1,1,1,1,1
A. Van Dis,1,1,1,1,1,1,1
A. Verghese,2,2,2,2,2,2,2
A. W Moore,1,1,1,1,1,1,1
A. W Reed,1,1,1,1,1,1,1
A. W. Gray,2,2,2,2,2,2,2
A. W. Palmer,1,1,1,1,1,1,1
A. W. Tozer,2,2,2,2,2,2,2
A. Wainwright,2,2,2,2,2,2,2
A. Walton Litz,1,1,1,1,1,1,1
A. Wayne Roberts,1,1,1,1,1,1,1
A. Westbrook,1,1,1,1,1,1,1
A. Whitney Brown,1,1,1,1,1,1,1
A. Wilkes,3,3,3,3,3,3,3
A. William Robinson,1,1,1,1,1,1,1
A. Williams,1,1,1,1,1,1,1
A. Wimschneider,1,1,1,1,1,1,1
A. Zee,2,2,2,2,2,2,2
A. den Doolaard,1,1,1,1,1,1,1
A.-L. Kennedy,1,1,1,1,1,1,1
A.A. ATTANASIO,1,1,1,1,1,1,1
A.A. Attanasio,6,6,6,6,6,6,6
A.A. Carr,1,1,1,1,1,1,1
A.A. Cumming,1,1,1,1,1,1,1
A.A. Fair,1,1,1,1,1,1,1
A.A. MILNE,2,2,2,2,2,2,2
A.A. Milne,21,21,21,21,21,21,21
A.B. Daniel,3,3,3,3,3,3,3
A.B. Facey,1,1,1,1,1,1,1
A.B. Paterson,1,1,1,1,1,1,1
A.C. Bhaktivedanta Swami,1,1,1,1,1,1,1
A.C. Bhaktivedanta Swami Prabhupada,2,2,2,2,2,2,2
A.C. Cawley,2,2,2,2,2,2,2
A.C. Crispin,18,18,18,18,18,18,18
A.C. Ellis,1,1,1,1,1,1,1
A.C. Gordon,1,1,1,1,1,1,1
A.C. Graham,1,1,1,1,1,1,1
A.C. Grayling,1,1,1,1,1,1,1
A.C. Montgomery,1,1,1,1,1,1,1
A.C. Pomahoba,2,2,2,2,2,2,2
A.E. Cannon,1,1,1,1,1,1,1
A.E. Ellis,1,1,1,1,1,1,1
A.E. Hotchner,4,4,4,4,4,4,4
A.E. Houseman,1,1,1,1,1,1,1
A.E. Maxwell,2,2,2,2,2,2,2
A.E. Parker,7,7,7,7,7,7,7
A.E. Van Vogt,9,9,9,9,9,9,9
A.E. Waite,1,1,1,1,1,1,1
A.E. Weiss,1,1,1,1,1,1,1
A.E.W. Mason,3,3,3,3,3,3,3
A.G. Elliot,1,1,1,1,1,1,1
A.G. Mojtabai,1,1,1,1,1,1,1
A.J. Augarde,1,1,1,1,1,1,1
A.J. Benza,1,1,1,1,1,1,1
A.J. Chevalier,1,1,1,1,1,1,1
A.J. Cronin,3,3,3,3,3,3,3
A.J. Dunning,1,1,1,1,1,1,1
A.J. JACOBS,2,2,2,2,2,2,2
A.J. Jacobs,2,2,2,2,2,2,2
A.J. Langguth,1,1,1,1,1,1,1
A.J. Liebling,2,2,2,2,2,2,2
A.J. McCallen,1,1,1,1,1,1,1
A.J. Orde,4,4,4,4,4,4,4
A.J. Quinnell,3,3,3,3,3,3,3
A.J. Russell,1,1,1,1,1,1,1
A.J. Wood,4,4,4,4,4,4,4
A.J.P. Taylor,2,2,2,2,2,2,2
A.K. Dewdney,2,2,2,2,2,2,2
A.K. Legg,1,1,1,1,1,1,1
A.L. Farley,1,1,1,1,1,1,1
A.L. Kennedy,1,1,1,1,1,1,1
A.L. Singer,5,5,5,5,5,5,5
A.L. WILLIAMS,1,1,1,1,1,1,1
A.L. White,1,1,1,1,1,1,1
A.M. HOMES,2,2,2,2,2,2,2
A.M. Homes,4,4,4,4,4,4,4
A.M. Klein,1,1,1,1,1,1,1
A.M. Miandij,1,1,1,1,1,1,1
A.M. Monson,1,1,1,1,1,1,1
A.M. Rosenthal,2,2,2,2,2,2,2
"A.M. \Tex\"" Johnson""",1,1,1,1,1,1,1
A.N. Jeffares,8,8,8,8,8,8,8
A.N. Ocker,1,1,1,1,1,1,1
A.N. Roquelaure,3,3,3,3,3,3,3
A.N. Wilson,3,3,3,3,3,3,3
A.P. Dobson,1,1,1,1,1,1,1
A.R. Ammons,1,1,1,1,1,1,1
A.R. Morlan,1,1,1,1,1,1,1
A.R. Myers,1,1,1,1,1,1,1
A.R. Radcliffe-Brown,1,1,1,1,1,1,1
A.R. Riefe,1,1,1,1,1,1,1
A.R.R.R. Roberts,3,3,3,3,3,3,3
A.S.  Byatt,1,1,1,1,1,1,1
A.S. BYATT,4,4,4,4,4,4,4
A.S. Byatt,4,4,4,4,4,4,4
A.S. Hitchcock,2,2,2,2,2,2,2
A.Susan Williams,1,1,1,1,1,1,1
A.T Langford,1,1,1,1,1,1,1
A.T Mann,1,1,1,1,1,1,1
A.T. Hatto,1,1,1,1,1,1,1
A.T. Mann,1,1,1,1,1,1,1
A.W. Gray,2,2,2,2,2,2,2
A.W. Mykel,2,2,2,2,2,2,2
A.W. Reed,1,1,1,1,1,1,1
A.W. Tozer,1,1,1,1,1,1,1
A.a Milne,1,1,1,1,1,1,1
AA.VV.,1,1,1,1,1,1,1
AAA,3,3,3,3,3,3,3
AAA Publishing,2,2,2,2,2,2,2
AARON ALLSTON,1,1,1,1,1,1,1
AARON HAMBURGER,1,1,1,1,1,1,1
AARON LANSKY,1,1,1,1,1,1,1
AARON NAPARSTEK,1,1,1,1,1,1,1
ABBE Prevost,1,1,1,1,1,1,1
ABRAHAM CAHAN,1,1,1,1,1,1,1
ABRAHAM LINCOLN,2,2,2,2,2,2,2
AD HUDLER,3,3,3,3,3,3,3
ADAIR LARA,1,1,1,1,1,1,1
ADAM BELLOW,1,1,1,1,1,1,1
ADAM GAFFIN,1,1,1,1,1,1,1
ADAM HASLETT,2,2,2,2,2,2,2
ADAM ROBINSON,1,1,1,1,1,1,1
ADAM SMITH,1,1,1,1,1,1,1
ADAMS,1,1,1,1,1,1,1
ADELE STAN,1,1,1,1,1,1,1
ADELE WISEMAN,1,1,1,1,1,1,1
ADELINE YEN MAH,1,1,1,1,1,1,1
ADRIANA TRIGIANI,7,7,7,7,7,7,7
AElig;leen Frisch,1,1,1,1,1,1,1
AGATHA CHRISTIE,3,3,3,3,3,3,3
AHD,1,1,1,1,1,1,1
AHLBERG,1,1,1,1,1,1,1
AINSLIE T. EMBREE,1,1,1,1,1,1,1
AJ Butcher,1,1,1,1,1,1,1
AL FRANKEN,2,2,2,2,2,2,2
AL PERKINS,4,4,4,4,4,4,4
ALAIN DE BOTTON,2,2,2,2,2,2,2
ALAN BENNETT,1,1,1,1,1,1,1
ALAN DEAN FOSTER,8,8,8,8,8,8,8
ALAN DEUTSCHMAN,1,1,1,1,1,1,1
ALAN FURST,7,7,7,7,7,7,7
ALAN HOLLINGHURST,1,1,1,1,1,1,1
ALAN OKEN,1,1,1,1,1,1,1
ALB3,1,1,1,1,1,1,1
ALBERT CAMUS,6,6,6,6,6,6,6
ALBERT EINSTEIN,3,3,3,3,3,3,3
ALBERT FRENCH,1,1,1,1,1,1,1
ALBERTO MORAVIA,2,2,2,2,2,2,2
ALEKSANDAR HEMON,2,2,2,2,2,2,2
ALESSANDRO BOFFA,1,1,1,1,1,1,1
ALEX BARKER,1,1,1,1,1,1,1
ALEX COMFORT,1,1,1,1,1,1,1
ALEX HALEY,1,1,1,1,1,1,1
ALEX WELLEN,1,1,1,1,1,1,1
ALEX WITCHEL,1,1,1,1,1,1,1
ALEXANDER HAMILTON,1,1,1,1,1,1,1
ALEXANDER IRVINE,1,1,1,1,1,1,1
ALEXANDER MCCALL SMITH,3,3,3,3,3,3,3
ALEXANDER PUSHKIN,1,1,1,1,1,1,1
ALEXANDRA DAVID-NEEL,1,1,1,1,1,1,1
ALEXANDRA FULLER,2,2,2,2,2,2,2
ALEXANDRA PENNEY,1,1,1,1,1,1,1
ALEXANDRA STODDARD,1,1,1,1,1,1,1
ALEXANDRE DUMAS,4,4,4,4,4,4,4
ALEXIS DE TOCQUEVILLE,2,2,2,2,2,2,2
ALFRED HABEGGER,1,1,1,1,1,1,1
ALFRED MASON AMADON,1,1,1,1,1,1,1
ALFRED PORTALE,1,1,1,1,1,1,1
ALFREDO BRYCE-ECHENIQUE,1,1,1,1,1,1,1
ALI SMITH,3,3,3,3,3,3,3
ALICE ADAMS,1,1,1,1,1,1,1
ALICE BORCHARDT,2,2,2,2,2,2,2
ALICE HOFFMAN,3,3,3,3,3,3,3
ALICE KAHN LADAS,1,1,1,1,1,1,1
ALICE MCDERMOTT,1,1,1,1,1,1,1
ALICE STEINBACH,2,2,2,2,2,2,2
ALICE WALKER,1,1,1,1,1,1,1
ALISON C. ROSE,1,1,1,1,1,1,1
ALISON G. TAYLOR,1,1,1,1,1,1,1
ALISON GORDON,3,3,3,3,3,3,3
ALISON MCGHEE,1,1,1,1,1,1,1
ALISON WEIR,3,3,3,3,3,3,3
ALIX KATES SHULMAN,1,1,1,1,1,1,1
ALLAN COLE,1,1,1,1,1,1,1
ALLAN GURGANUS,1,1,1,1,1,1,1
ALLAN MALLINSON,1,1,1,1,1,1,1
ALLAN PEASE,1,1,1,1,1,1,1
ALLAN ZOLA KRONZEK,1,1,1,1,1,1,1
ALLEN KLEIN,2,2,2,2,2,2,2
ALLEN M. DVM MS SCHOEN,1,1,1,1,1,1,1
ALLEN MANDELBAUM,2,2,2,2,2,2,2
ALLIE SHAW,2,2,2,2,2,2,2
ALLISON GLOCK,1,1,1,1,1,1,1
ALLISON PEARSON,1,1,1,1,1,1,1
ALMA GUILLERMOPRIETO,1,1,1,1,1,1,1
ALMA R. HUTCHENS,1,1,1,1,1,1,1
ALVAH SIMON,1,1,1,1,1,1,1
ALVIN M. JOSEPHY,1,1,1,1,1,1,1
ALYSSA BRUGMAN,1,1,1,1,1,1,1
AMANDA CRAIG,2,2,2,2,2,2,2
AMANDA CROSS,7,7,7,7,7,7,7
AMANDA QUICK,2,2,2,2,2,2,2
AMELIA ATWATER-RHODES,3,3,3,3,3,3,3
AMELIA KINKADE,1,1,1,1,1,1,1
AMIR D. ACZEL,1,1,1,1,1,1,1
AMIT CHAUDHURI,1,1,1,1,1,1,1
AMITAV GHOSH,1,1,1,1,1,1,1
AMMIEL HIRSCH,1,1,1,1,1,1,1
AMULYA MALLADI,2,2,2,2,2,2,2
AMY BLOOM,2,2,2,2,2,2,2
AMY CHUA,1,1,1,1,1,1,1
AMY DACYCZYN,1,1,1,1,1,1,1
AMY GRAY,1,1,1,1,1,1,1
AMY KEEHN,1,1,1,1,1,1,1
AMY TAN,2,2,2,2,2,2,2
ANDRE III DUBUS,2,2,2,2,2,2,2
ANDREA DI ROBILANT,2,2,2,2,2,2,2
ANDREA IMMER,1,1,1,1,1,1,1
ANDREA POSNER-SANCHEZ,1,1,1,1,1,1,1
ANDREA SMITH,1,1,1,1,1,1,1
ANDREA VAN STEENHOUSE,2,2,2,2,2,2,2
ANDREW BURSTEIN,1,1,1,1,1,1,1
ANDREW COHEN,1,1,1,1,1,1,1
ANDREW FOX,1,1,1,1,1,1,1
ANDREW GUTELLE,1,1,1,1,1,1,1
ANDREW LECKEY,1,1,1,1,1,1,1
ANDREW MD WEIL,1,1,1,1,1,1,1
ANDREW PHD ROSS,1,1,1,1,1,1,1
ANDREW SULLIVAN,2,2,2,2,2,2,2
ANDREW TODHUNTER,1,1,1,1,1,1,1
ANDREW VACHSS,2,2,2,2,2,2,2
ANDY,1,1,1,1,1,1,1
ANDY BEHRMAN,2,2,2,2,2,2,2
ANGELA ELWELL HUNT,1,1,1,1,1,1,1
ANGELA Y. DAVIS,1,1,1,1,1,1,1
ANIKA NAILAH,1,1,1,1,1,1,1
ANITA BROOKNER,6,6,6,6,6,6,6
ANITA LIBERTY,1,1,1,1,1,1,1
ANITA RAU BADAMI,1,1,1,1,1,1,1
ANN BARRY,1,1,1,1,1,1,1
ANN BEATTIE,1,1,1,1,1,1,1
ANN BENSON,3,3,3,3,3,3,3
ANN BRASHARES,3,3,3,3,3,3,3
ANN BRAYBROOKS,3,3,3,3,3,3,3
ANN CAMERON,1,1,1,1,1,1,1
ANN COULTER,3,3,3,3,3,3,3
ANN HALAM,1,1,1,1,1,1,1
ANN LOUISE BARDACH,1,1,1,1,1,1,1
ANN LOUISE GITTLEMAN,1,1,1,1,1,1,1
ANN PACKER,2,2,2,2,2,2,2
ANNA BEER,1,1,1,1,1,1,1
ANNA FIENBERG,1,1,1,1,1,1,1
ANNA HELD AUDETTE,1,1,1,1,1,1,1
ANNA JANE HAYS,1,1,1,1,1,1,1
ANNA QUINDLEN,9,9,9,9,9,9,9
ANNA SEWELL,1,1,1,1,1,1,1
